collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74056006,Doodle #2907,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2907,https://lh3.googleusercontent.com/pwGQxnz9phMFsffkidEDKhucvpeq9dv2oW1DqxYA7oO7xPqsUe71QM66oON8Bx1jnnmg_hwQXOAl7ff4zXKlz_tt7yMPSJqYMnmH3A,4890378879,2022-04-10T17:51:42.087536,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.69
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74045422,Doodle #1716,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/1716,https://lh3.googleusercontent.com/qfFmtBqr5jLKI-p6s3dciolO3PDvc2Ld4QFyv8XankkNHRG1e3Bb8Ml3nhYj2OOivFJMFiBaIriKH-XJN_HK_mLNNFMPbKmDFlAN5yk,4882461499,2022-04-10T12:08:16.730067,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.45
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74414628,Doodle #8216,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8216,https://lh3.googleusercontent.com/DWAq5j1DzDsUfmkM4gOX9cXYv9lqdbulOQqNCpJqdeW0W_ll02kGZCZ9K-HJcM1yGk07SXMr60yPFO7K_ZQeJQDX5JCxcreqgPl6oQ,4881210849,2022-04-10T11:12:14.246901,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74041277,Doodle #326,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/326,https://lh3.googleusercontent.com/L-mynJv7hYZI68yqWr_mmomtxu1Mr30_F5B6perh1EtkdSlWssXhl5116Xri1VAEtwVuItaXiwz_VIEPOIX9leTHDhr5LuM1A-AzAA,4879589457,2022-04-10T10:04:02.991237,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.1
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74054314,Doodle #2804,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/2804,https://lh3.googleusercontent.com/VBkB2c_oTc7NlsaPVwxmIpADFgmls_OIBh_LgdQMGERvKJxB3FrFQXMLonh2v93iI3MNRuPhu_E7oYZLzWz_re9mGokaLBHi0oI-dQ,4876030404,2022-04-10T07:25:15.074953,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74414404,Doodle #7999,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/7999,https://lh3.googleusercontent.com/GRQwcd73zOAO-we0ZAw2AC7EpMsGcWkzYurKlr3qqsb1YMJ7YDbEfQOQlXpS7bmj4_tTQ1n9i8ciMnErTvwvgsQl4wwBhz48ILtlrg,4874566619,2022-04-10T06:15:53.103149,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.49
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74081437,Doodle #3800,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3800,https://lh3.googleusercontent.com/9OKRfMB-C1udB2T3tnU34wdmQSRsfPk1t0BkCLzG_BHzALdkfzuEVI1gSX11tt-TaLTfadmiRpsboL2uwXS3EhU7MOwJIt6myWx9kg,4873356234,2022-04-10T05:20:27.173787,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74139164,Doodle #4667,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/4667,https://lh3.googleusercontent.com/TwI8PbdHIjab73ESuLQDCfrbp1FixlE-kzQMg7V4iEkRfeonJ39xVCV8UbWdM-EX1J6XkWdalRVfKFBWoAaSQZ5z6WEWgE_-VnoF,4872706805,2022-04-10T04:52:22.785861,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74059977,Doodle #3128,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3128,https://lh3.googleusercontent.com/lnePBdHteJC8TbhVy1I73tq3ESKGZ085Nb9-NhcZVBRu01dHhsMvFt93ciVrDLseknBAJtVMlxoNLEzlqKQsAkT0hsOHYIU5uSGbcA,4872106384,2022-04-10T04:25:44.196130,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74285485,Doodle #5289,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/5289,https://lh3.googleusercontent.com/SMCPfXmeX_ogYsrObxKUMTEH2s0_OFxu3486ULaBWI8LDFQTWPckIZ8asTNsvC-M8DGPkm6HfMDX-ntypEZeWBUQr13UOq6CfEDCPA,4857623401,2022-04-09T17:41:24.150762,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.99
